fips,population_v051,area,land_area_km2,pop_km2
08077,153207,8621899288,8621.899287999999,17.769518627204825
08081,13188,12284943825,12284.943825,1.0735091822855771
08083,26158,5255937129,5255.937129,4.976847964118789
38027,2313,1632133949,1632.133949,1.417163095845879
08085,42214,5804023559,5804.023558999999,7.273230298064682
08087,28558,3316441514,3316.4415139999996,8.611036823488515
38033,1769,2593894326,2593.894326,0.6819861481126506
08089,18432,3268424425,3268.4244249999997,5.639414471087243
08091,4833,1402719365,1402.719365,3.4454504019768772
08093,18556,5682181421,5682.181420999999,3.265647226859285
08097,17950,2514104904,2514.104904,7.139717985292153
08099,12164,4243428664,4243.428664,2.866549897066916
08109,6843,8206547694,8206.547693999999,0.833846369406112
08101,167529,6179916826,6179.916826,27.108617270571663
08103,6336,8342275042,8342.275042,0.7595050472563886
08105,11250,2361956098,2361.956098,4.763001314684046
