fips,state,county,state_fips,county_fips,state_abb,metro_area,metro_state_county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
12095,Florida,Orange County,12,095,FL,Tampa-Orlando,"Tampa-Orlando, Orange County, FL",0.3649038279102376,1.721474157214016,0.8638815814844936,0.5883342230369023,-0.8192496241184806,-0.6101032974054443,0.9740166382235375,0.5637918593010741,0.771186939075299,-0.15275975157499316,0.9527711265287782,0.6358602049419544,-0.571172326304114,0.34477150824938313,-0.16284426177655442,0.5368361542214938,-0.21127565804231996,-0.5524527766575305,0.7141516570397182,-0.1456769646651247,-0.5391985287851401,0.1273974173608387,0.03628555677711774
12099,Florida,Palm Beach County,12,099,FL,Miami,"Miami, Palm Beach County, FL",0.5305010461610681,1.6664055725640596,-0.46093639842519785,2.867707343123294,-0.6186742497985834,-1.0608656936985155,-1.5641705589847497,1.7641922635591591,-0.8774937509491191,-0.6724019029959758,-1.0405797799889849,0.07593930649749253,0.08605112700182067,0.30850895752965896,0.3488313629462362,-0.6490692201017096,0.5495421163688067,0.19503832291276213,-0.07212091750148565,-0.3487122876445079,-0.3236871518146785,0.09463690960274218,0.08047436555256168
12103,Florida,Pinellas County,12,103,FL,Tampa-Orlando,"Tampa-Orlando, Pinellas County, FL",1.9145338549655062,0.6836329963262232,-2.8560438768843643,3.349499547829752,-0.2655424458210371,-0.800957458572243,-0.45308379252841885,0.047579389954246175,-0.5803809617852185,-0.653634952122132,-0.8969737134419318,-1.1781632131925082,-0.5509323867122135,0.07641863890230619,0.3507098848385391,0.5342175645777306,0.14650391440436994,-0.029751842670260542,0.007578142699162308,0.18512591558656277,0.2620186470372171,-0.012228802779031607,0.13720058344243233
12105,Florida,Polk County,12,105,FL,Tampa-Orlando,"Tampa-Orlando, Polk County, FL",4.969537758761889,-1.9196446502834352,0.8773134523566378,2.3048164458000553,-1.7556279425062595,-0.0818353282164832,-0.9412405504325088,-1.6213817121181953,-1.1745076632797193,-0.5602454035685248,0.5008349857903223,1.146502707780057,0.032339684742912475,0.3308785261165533,-0.49906367845076693,-0.19464320450143846,-0.4271568989430028,0.12557554412108976,0.23541353745069787,0.014943521748407447,0.2509084860107863,-0.10889509915531034,-0.30067256779031076
17031,Illinois,Cook County,17,031,IL,Chicago,"Chicago, Cook County, IL",0.9632629210272925,1.6461639080428687,-1.2600210751727752,-2.452754055598704,1.2233801049162472,-0.36136629354580885,-0.26440551401791157,1.0305127751141365,-0.4477398694554851,-0.874800120101893,-0.568269931978322,-0.35040808392839207,-0.21594865809562996,-0.08462690056058482,-1.393789693360605,0.16950871211542257,-0.19983752980561215,0.5387225590504392,0.30232287303574923,0.1853085926989605,-0.08148853626010175,0.022576573974525498,0.13442596276725455
17043,Illinois,DuPage County,17,043,IL,Chicago,"Chicago, DuPage County, IL",-3.461487622215116,-3.1021581815810078,-2.0764901229640076,-0.20766919906840012,0.3344831925494971,-1.3995521282687848,1.2252077640343282,0.21472965144974226,-0.9772368458247227,1.0479146292324701,0.6168220105004655,0.1455989219271152,-1.1490923479871429,-0.7092136227578454,0.10196976650866105,-0.627289206142373,-0.0064202929517455124,0.2525832722516556,-0.18785949925352938,0.1934374920295983,-0.015050640870683557,-0.41629694391292127,-0.22584056618636034
17089,Illinois,Kane County,17,089,IL,Chicago,"Chicago, Kane County, IL",-0.052904029149442894,-2.8219347157198342,2.2868745646378335,-1.223792555359832,0.7621649035245552,0.303741250291997,-1.8987555253170973,-0.5308433807278577,-0.1342276459287319,-0.11665406518632065,-0.2581578980972436,0.7122161665613347,-0.10228190718636496,0.015876560394876556,0.3003459706393201,-0.7858286551136227,0.9949476833251896,-0.5243582285079105,-0.04592981327997824,-0.08074527758359189,0.003947039981118388,0.27336167638497016,-0.15741622035462144
17097,Illinois,Lake County,17,097,IL,Chicago,"Chicago, Lake County, IL",-2.066100296926063,-2.2675344532735155,-0.6972722764806442,-1.6267046600713975,0.11455581518381888,-0.7236132031301775,-0.12608383885520646,0.6445328658281818,-0.18773038855112445,-0.2167057834691127,-0.6639828497113847,1.068269543210946,0.42043455554670145,-1.1598915198978625,0.47017492373998193,-0.20642165271443358,-0.4599378762683862,0.3132116364174758,-0.016712449853384184,-0.21776391072443876,-0.23418288394395534,-0.14050332841638535,0.19723716724015924
17111,Illinois,McHenry County,17,111,IL,Chicago,"Chicago, McHenry County, IL",-1.059437544852587,-4.840187861954211,0.393919509346266,0.43608963216678215,1.1613435273044825,-0.08859993303822297,-0.46201893967658236,-0.9801359353505702,0.09260598705029437,0.7462194311896188,0.1893456544343522,-0.26222216186971575,-0.49673757428707876,0.6774851041015298,0.2789406650534255,0.41740268225494453,0.08195656930180106,0.6207166366845285,0.42858059529484405,0.2530160120322541,-0.3271381801738158,0.25788656241623287,-0.08886518697145114
17197,Illinois,Will County,17,197,IL,Chicago,"Chicago, Will County, IL",0.5264710254771398,-3.9622548889731606,-0.1043916542736825,-0.5693162612300338,2.1157420769164665,-0.4506683739430628,-0.30972553424459576,-0.915973844423097,0.7585489116055147,0.5063848243602315,0.5525314639402394,0.23645463273894513,0.43892486609798625,0.13578545079498985,-0.2725202498608509,-0.06338526506439579,0.6846500259911159,0.26565086755796724,0.17644597055929487,0.05408425274452122,0.042046976562268176,-0.03253956096499428,0.33119258621681136
